,Brand,Model,Make_Year,Price,Location,Distance travelled in km,EMI per month,Fuel type,owner
357,Honda,City ,2017,₹6.48L,Patna,"45,754","12,669",P,2
358,Honda,WR-V ,2017,₹6.05L,Patna,"75,283","11,822",P,1
359,Hyundai,i20 ,2011,₹1.99L,Patna,"77,420","9,368",P,1
360,Nissan,MAGNITE ,2023,₹5.67L,Surat,"36,248","11,092",P,1
361,Hyundai,VENUE ,2021,₹8.49L,Surat,"19,139","16,160",P,1
362,Mahindra,XUV500 ,2018,₹10.00L,Surat,"87,907","19,034",D,2
363,Renault,Kwid ,2023,₹4.98L,Surat,"4,588","9,736",P,1
364,Hyundai,Elite i20 ,2019,₹6.65L,Surat,"95,643","13,001",D,1
365,Honda,Brio ,2014,₹3.13L,Surat,"51,267","6,951",P,2
366,Hyundai,Grand i10 ,2016,₹4.15L,Surat,"94,622","9,231",C,1
367,Hyundai,Xcent ,2016,₹4.06L,Surat,"62,673","7,937",P,1
368,Maruti,Baleno ,2021,₹7.65L,Surat,"21,155","14,956",P,1
369,Maruti,Vitara Brezza ,2016,₹7.80L,Surat,"37,754","15,249",D,1
370,Honda,WR-V ,2018,₹6.53L,Surat,"53,426","12,766",P,1
371,Ford,Ecosport ,2019,₹6.89L,Surat,"74,193","13,470",P,2
372,Maruti,S PRESSO ,2020,₹4.29L,Surat,"17,584","8,387",P,1
373,Maruti,IGNIS ,2022,₹6.65L,Surat,"21,281","13,001",P,1
374,Hyundai,Grand i10 ,2017,₹5.03L,Surat,"88,433","9,834",P,1
375,Hyundai,Creta ,2016,₹7.53L,Surat,"77,051","14,721",P,1
376,Hyundai,Grand i10 ,2017,₹5.18L,Surat,"35,716","10,127",P,1
377,Honda,Jazz ,2018,₹5.99L,Surat,"31,353","11,711",P,1
378,Renault,Kwid ,2016,₹2.11L,Surat,"58,987","4,125",P,2
379,Hyundai,AURA ,2021,₹6.61L,Surat,"55,433","12,918",C,1
380,Maruti,S PRESSO ,2019,₹4.18L,Chandigarh,"71,256","8,172",C,1
381,Renault,Kwid ,2023,₹5.39L,Chandigarh,"5,467","10,533",P,1
382,Maruti,Ciaz ,2019,₹7.92L,Chandigarh,"30,908","15,484",P,1
383,Volkswagen,Polo ,2019,₹4.43L,Chandigarh,"45,023","8,658",P,1
384,Maruti,Celerio ,2018,₹4.14L,Chandigarh,"39,297","8,087",P,1
385,Hyundai,Verna ,2020,₹10.51L,Chandigarh,"54,966","20,005",D,2
386,KIA,SELTOS ,2020,₹9.68L,Chandigarh,"46,338","18,425",D,1
387,Maruti,Swift ,2021,₹6.30L,Chandigarh,"39,153","12,317",P,1
388,Toyota,Innova ,2015,₹8.53L,Chandigarh,"90,896","18,546",D,
389,Ford,Ecosport ,2016,₹4.60L,Chandigarh,"00,239","10,232",D,1
390,Volkswagen,Vento ,2018,₹7.35L,Chandigarh,"79,938","14,374",D,2
391,Skoda,Rapid ,2019,₹6.69L,Chandigarh,"39,582","13,076",P,1
392,Hyundai,VENUE ,2021,₹9.06L,Chandigarh,"34,028","17,254",P,1
393,Mahindra,Thar ,2021,₹12.74L,Chandigarh,"47,125","24,249",P,1
394,Nissan,MAGNITE ,2022,₹6.04L,Chandigarh,"29,245","11,801",P,1
395,Tata,NEXON ,2018,₹5.39L,Chandigarh,"67,304","10,538",C,2
396,KIA,SELTOS ,2019,₹10.18L,Chandigarh,"71,561","19,377",P,2
397,Maruti,Ciaz ,2018,₹6.59L,Chandigarh,"13,475","14,659",D,1
398,Ford,Ecosport ,2018,₹5.97L,Chandigarh,"53,530","11,671",D,1
399,Hyundai,NEW I20 ,2020,₹7.45L,Chandigarh,"23,262","14,561",P,2
400,Maruti,S PRESSO ,2019,₹4.18L,Chandigarh,"71,256","8,172",C,1
401,Renault,Kwid ,2023,₹5.39L,Chandigarh,"5,467","10,533",P,1
402,Maruti,Ciaz ,2019,₹7.92L,Chandigarh,"30,908","15,484",P,1
403,Volkswagen,Polo ,2019,₹4.43L,Chandigarh,"45,023","8,658",P,1
404,Maruti,Celerio ,2018,₹4.14L,Chandigarh,"39,297","8,087",P,1
405,Hyundai,Verna ,2020,₹10.51L,Chandigarh,"54,966","20,005",D,2
406,KIA,SELTOS ,2020,₹9.68L,Chandigarh,"46,338","18,425",D,1
407,Maruti,Swift ,2021,₹6.30L,Chandigarh,"39,153","12,317",P,1
408,Toyota,Innova ,2015,₹8.53L,Chandigarh,"90,896","18,546",D,
409,Ford,Ecosport ,2016,₹4.60L,Chandigarh,"00,239","10,232",D,1
410,Volkswagen,Vento ,2018,₹7.35L,Chandigarh,"79,938","14,374",D,2
411,Skoda,Rapid ,2019,₹6.69L,Chandigarh,"39,582","13,076",P,1
412,Hyundai,VENUE ,2021,₹9.06L,Chandigarh,"34,028","17,254",P,1
413,Mahindra,Thar ,2021,₹12.74L,Chandigarh,"47,125","24,249",P,1
414,Nissan,MAGNITE ,2022,₹6.04L,Chandigarh,"29,245","11,801",P,1
415,Tata,NEXON ,2018,₹5.39L,Chandigarh,"67,304","10,538",C,2
416,KIA,SELTOS ,2019,₹10.18L,Chandigarh,"71,561","19,377",P,2
417,Maruti,Ciaz ,2018,₹6.59L,Chandigarh,"13,475","14,659",D,1
418,Ford,Ecosport ,2018,₹5.97L,Chandigarh,"53,530","11,671",D,1
419,Hyundai,NEW I20 ,2020,₹7.45L,Chandigarh,"23,262","14,561",P,2
420,Mahindra,Thar ,2021,₹13.31L,Faridabad,"42,227","25,334",P,1
421,Hyundai,Verna ,2020,₹9.25L,Faridabad,"60,592","17,607",D,1
422,Maruti,Baleno ,2020,₹5.19L,Faridabad,"46,628","10,147",P,1
423,Maruti,Swift ,2017,₹4.18L,Faridabad,"58,539","8,172",P,1
424,Tata,Harrier ,2019,₹10.60L,Faridabad,"56,690","23,041",D,2
425,Maruti,IGNIS ,2018,₹5.55L,Faridabad,"31,802","10,848",P,1
426,Nissan,MAGNITE ,2022,₹5.51L,Faridabad,"36,341","10,772",P,1
427,Hyundai,Creta ,2016,₹6.81L,Faridabad,"84,938","15,148",C,2
428,Maruti,New Wagon-R ,2022,₹6.08L,Faridabad,"38,261","11,882",C,1
429,Ford,Ecosport ,2020,₹7.03L,Faridabad,"71,807","13,744",D,2
430,Maruti,S Cross ,2022,₹8.52L,Faridabad,"15,983","16,217",P,1
431,Maruti,Swift ,2013,₹2.82L,Faridabad,"61,671","7,424",P,1
432,Hyundai,Creta ,2015,₹5.69L,Faridabad,"2,963","12,650",P,
433,Maruti,Ciaz ,2018,₹6.58L,Faridabad,"51,690","12,869",P,1
434,Ford,Ecosport ,2019,₹6.95L,Faridabad,"71,456","15,467",D,1
435,Tata,NEXON ,2019,₹7.13L,Faridabad,"61,470","13,936",P,1
436,Hyundai,Grand i10 ,2016,₹3.72L,Faridabad,"59,812","7,279",P,
437,Tata,TIGOR ,2020,₹6.60L,Faridabad,"17,280","12,903",P,1
438,Hyundai,Verna ,2015,₹4.69L,Faridabad,"2,445","10,440",P,2
439,Maruti,Baleno ,2017,₹5.20L,Faridabad,"47,472","10,169",P,1
440,Tata,Tiago ,2017,₹3.97L,Rajkot,"99,594","7,759",P,1
441,Ford,Ecosport ,2020,₹7.50L,Rajkot,"29,256","14,663",P,
442,Hyundai,Elite i20 ,2020,₹6.55L,Rajkot,"62,233","12,798",P,2
443,Maruti,Dzire ,2021,₹6.90L,Rajkot,"18,946","13,490",P,1
444,Honda,Amaze ,2019,₹5.87L,Rajkot,"47,579","11,476",P,1
445,Tata,NEXON ,2021,₹7.33L,Rajkot,"34,294","14,323",P,1
446,Datsun,Redi Go ,2019,₹2.36L,Rajkot,"55,380","4,614",P,1
447,Honda,Amaze ,2021,₹7.08L,Rajkot,"25,620","13,837",P,1
448,Honda,WR-V ,2017,₹6.77L,Rajkot,"33,757","13,234",P,1
449,Hyundai,i10 ,2014,₹3.60L,Rajkot,"54,950","11,957",C,1
450,Hyundai,Creta ,2018,₹9.88L,Rajkot,"87,533","18,806",D,1
451,Ford,New Figo ,2021,₹6.08L,Rajkot,"24,958","11,881",P,1
452,Hyundai,Eon ,2014,₹2.13L,Rajkot,"55,031","4,738",P,1
453,Renault,Kwid ,2018,₹2.92L,Rajkot,"24,644","5,709",P,1
454,Volkswagen,Polo ,2017,₹5.59L,Rajkot,"70,677","10,929",P,1
455,Maruti,New Wagon-R ,2020,₹5.55L,Rajkot,"25,286","10,858",C,1
456,Maruti,Baleno ,2021,₹6.56L,Rajkot,"40,022","12,825",P,1
457,Maruti,Wagon R 1.0 ,2018,₹3.68L,Rajkot,"13,191","8,195",C,2
458,Hyundai,i10 ,2014,₹2.89L,Rajkot,"50,115","6,435",P,2
459,Maruti,Baleno ,2018,₹6.12L,Rajkot,"77,676","11,967",P,1
460,Maruti,Wagon R 1.0 ,2015,₹3.23L,Vadodara,"40,713","6,315",P,1
461,Hyundai,Creta ,2017,₹7.81L,Vadodara,"70,866","15,269",D,2
462,Honda,Jazz ,2018,₹6.44L,Vadodara,"33,721","12,585",P,1
463,Volkswagen,Polo ,2015,₹4.87L,Vadodara,"92,547","9,529",P,1
464,Renault,Kwid ,2020,₹3.39L,Vadodara,"21,447","6,632",P,1
465,Hyundai,Elite i20 ,2020,₹6.69L,Vadodara,"62,409","13,079",P,1
466,Maruti,Celerio ,2014,₹3.23L,Vadodara,"71,150","7,185",P,1
467,Tata,NEXON ,2020,₹6.99L,Vadodara,"56,527","13,666",P,1
468,Hyundai,NEW SANTRO ,2020,₹4.61L,Vadodara,"69,488","9,009",P,1
469,Hyundai,NEW I20 ,2023,₹9.96L,Vadodara,"10,434","18,958",P,1
470,Ford,Ecosport ,2016,₹5.46L,Vadodara,"37,853","10,674",P,1
471,Hyundai,Grand i10 ,2019,₹5.78L,Vadodara,"33,547","11,300",P,1
472,Maruti,Swift Dzire ,2016,₹5.03L,Vadodara,"68,933","9,836",P,1
473,Maruti,Dzire ,2019,₹5.90L,Vadodara,"74,411","11,535",P,1
474,Maruti,Baleno ,2016,₹5.04L,Vadodara,"39,926","9,851",P,2
475,Maruti,Baleno ,2022,₹6.98L,Vadodara,"20,176","13,655",P,1
476,KIA,SONET ,2023,₹12.22L,Vadodara,"6,854","23,263",D,1
477,MG,HECTOR ,2020,₹12.36L,Vadodara,"71,377","23,522",P,2
478,Tata,NEXON ,2023,₹10.23L,Vadodara,"9,867","19,478",P,1
479,Renault,TRIBER ,2022,₹7.40L,Vadodara,"21,742","14,467",P,1
480,Volkswagen,Vento ,2017,₹5.88L,Agra,"87,526","11,496",D,1
481,Renault,Kwid ,2022,₹4.47L,Agra,"13,379","8,739",P,1
482,Renault,Kwid ,2021,₹4.46L,Agra,"14,753","8,719",P,1
483,Maruti,Swift Dzire ,2013,₹3.52L,Agra,"65,842","11,691",D,1
484,Hyundai,VENUE ,2020,₹6.64L,Agra,"32,656","12,981",P,1
485,Ford,Ecosport ,2018,₹5.99L,Agra,"69,276","11,720",D,1
486,Maruti,Swift ,2017,₹4.12L,Agra,"55,024","8,061",P,2
487,Hyundai,VENUE ,2021,₹6.92L,Agra,"26,496","13,529",P,1
488,Honda,City ,2016,₹6.26L,Agra,"68,268","12,248",P,1
489,Tata,ALTROZ ,2021,₹6.22L,Agra,"40,668","12,160",P,1
490,Maruti,Ciaz ,2018,₹6.97L,Agra,"42,114","13,626",P,1
491,Volkswagen,Vento ,2019,₹7.94L,Agra,"60,184","15,523",D,2
492,Maruti,Swift ,2015,₹4.12L,Agra,"63,947","8,055",P,1
493,Ford,Ecosport ,2019,₹6.85L,Agra,"76,899","13,392",D,1
494,Mahindra,XUV300 ,2023,₹10.80L,Agra,"14,513","20,557",P,1
495,Renault,Duster ,2018,₹6.27L,Agra,"60,158","12,258",D,1
496,Hyundai,Creta ,2020,₹10.43L,Agra,"64,178","19,853",P,1
497,Hyundai,VENUE ,2022,₹7.82L,Agra,"11,654","15,288",P,1
498,Hyundai,VENUE ,2019,₹8.80L,Agra,"59,436","16,750",P,1
499,Mahindra,XUV300 ,2019,₹8.12L,Agra,"70,913","15,456",D,1
