,Brand,Model,Make_Year,Price,Location,Distance travelled in km,EMI per month,Fuel type,owner
114,Hyundai,Grand i10 ,2016,₹4.10L,"Golf Course Ext., Gurugram","89,071","8,020",P,1
115,Maruti,Celerio ,2016,₹3.94L,Noida,"32,928","7,708",P,1
116,MG,HECTOR ,2022,₹15.98L,"Rohini, New Delhi","26,999","30,416",P,1
117,Renault,TRIBER ,2023,₹6.31L,"Golf Course Ext., Gurugram","6,843","12,344",P,1
118,Maruti,Ciaz ,2018,₹6.83L,"Golf Course Ext., Gurugram","45,254","13,355",P,2
119,Maruti,Ciaz ,2019,₹7.14L,"Golf Course Ext., Gurugram","59,733","13,959",P,1
120,Maruti,Swift ,2015,₹4.43L,Chennai,"79,625","8,653",P,2
121,Maruti,Swift ,2022,₹7.02L,Chennai,"15,391","13,732",P,1
122,Datsun,Redi Go ,2021,₹3.47L,Chennai,"42,061","6,784",P,1
123,Toyota,URBAN CRUISER ,2022,₹9.71L,Chennai,"37,842","18,479",P,1
124,Renault,Kwid ,2019,₹3.78L,Chennai,"50,746","7,390",P,1
125,Volkswagen,Vento ,2018,₹7.76L,Chennai,"52,760","15,171",P,1
126,Tata,ALTROZ ,2022,₹6.63L,Chennai,"16,310","12,959",P,2
127,Tata,Tiago ,2022,₹5.53L,Chennai,"16,900","10,807",P,2
128,Honda,City ,2022,₹12.20L,Chennai,"16,277","23,222",P,1
129,Honda,City ,2019,₹8.73L,Chennai,"55,204","16,617",P,2
130,Hyundai,Verna ,2019,₹7.71L,Chennai,"70,609","15,073",P,1
131,Hyundai,Grand i10 ,2019,₹4.64L,Chennai,"52,746","9,071",P,2
132,Hyundai,Verna ,2019,₹8.67L,Chennai,"70,063","16,503",P,2
133,Maruti,Alto ,2019,₹3.34L,Chennai,"56,146","6,530",P,1
134,Honda,Jazz ,2018,₹5.22L,Chennai,"84,221","10,205",P,1
135,Honda,City ,2022,₹11.95L,Chennai,"54,116","22,746",P,1
136,Renault,Kwid ,2022,₹4.52L,Chennai,"7,578","8,837",P,1
137,Hyundai,GRAND I10 NIOS ,2021,₹5.88L,Chennai,"21,826","11,496",P,2
138,Tata,NEXON ,2022,₹10.42L,Chennai,"21,749","19,834",P,1
139,Maruti,Ciaz ,2022,₹8.65L,Chennai,"46,547","16,464",P,2
140,Maruti,Baleno ,2017,₹5.72L,Pune,"42,009","11,178",P,1
141,Hyundai,Verna ,2014,₹5.03L,Pune,"61,594","11,189",P,1
142,Hyundai,NEW I20 ,2021,₹7.73L,Pune,"51,759","15,112",P,1
143,Maruti,Swift ,2013,₹3.39L,Pune,"87,105","8,927",P,2
144,Maruti,New Wagon-R ,2020,₹5.38L,Pune,"61,316","10,517",C,1
145,Hyundai,i10 ,2013,₹2.64L,Pune,"72,306","6,952",P,
146,Honda,City ,2020,₹10.12L,Pune,"19,482","19,262",P,1
147,Honda,Brio ,2013,₹2.81L,Pune,"71,010","7,400",P,1
148,Tata,ALTROZ ,2022,₹8.06L,Pune,"32,581","15,340",P,1
149,Volkswagen,Polo ,2013,₹4.01L,Pune,"39,983","10,560",P,2
150,Skoda,Rapid ,2021,₹9.05L,Pune,"19,675","17,226",P,2
151,Tata,ALTROZ ,2022,₹7.49L,Pune,"19,462","14,643",P,1
152,MG,HECTOR ,2022,₹13.65L,Pune,"13,367","25,982",P,1
153,Tata,TIGOR ,2018,₹5.12L,Pune,"4,443","11,383",P,1
154,Renault,TRIBER ,2022,₹6.52L,Pune,"32,263","12,747",P,1
155,Nissan,Terrano ,2013,₹3.93L,Pune,"77,612","13,053",D,2
156,Tata,ALTROZ ,2023,₹8.83L,Pune,"14,754","16,807",P,1
157,Maruti,Swift Dzire ,2012,₹3.98L,Pune,"64,175","13,221",P,1
158,Maruti,Wagon R 1.0 ,2016,₹3.39L,Pune,"78,853","6,628",P,2
159,Honda,City ,2017,₹6.65L,Pune,"20,365","13,001",P,1
160,Tata,Harrier ,2022,₹14.41L,"Golf Course Ext., Gurugram","27,990","27,428",D,1
161,Ford,Ecosport ,2021,₹8.87L,Noida,"23,480","16,883",D,1
162,Maruti,Celerio ,2016,₹3.94L,Noida,"32,928","7,708",P,1
163,Ford,Ecosport ,2019,₹7.66L,"Rohini, New Delhi","58,503","14,977",P,1
164,Maruti,IGNIS ,2019,₹4.62L,Noida,"51,244","9,032",P,1
165,Mahindra,Thar ,2020,₹11.93L,Delhi,"11,003","22,708",D,1
166,Tata,Tiago ,2023,₹5.68L,Noida,"17,297","11,102",P,1
